product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
https://www.flipkart.com/sony-ex255ap-wired-headset/p/itm6918ffbba1386?pid=ACCEVAEWHAGE5ZPE&lid=LSTACCEVAEWHAGE5ZPEVRRNGN&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=487c6faf-4521-4fcd-9385-19732a94e7ad.ACCEVAEWHAGE5ZPE.SEARCH&ppt=sp&ppn=sp&ssid=7shilhzig00000001684389994966&qH=e9698ba16f3a3269,"SONY EX255AP Wired Headset  (Blue, In the Ear)",1990.0,1699.0,SONY,MDR-EX255AP,Blue,In Ear,Wired
https://www.flipkart.com/boat-bassheads-103-black-wired-headset/p/itmcef2a10b6ea14?pid=ACCFGYHGGDCFYCA3&lid=LSTACCFGYHGGDCFYCA3Y4KOPR&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_6&otracker=search&otracker1=search&iid=d5a3ae87-0897-4a79-9bb8-54f0edc1114f.ACCFGYHGGDCFYCA3.SEARCH&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,"boAt Bassheads 103 Black Wired Headset  (Black, In the Ear)",1290.0,499.0,boAt,Bassheads 103 Black,Black,In Ear,Wired
https://www.flipkart.com/meyaar-dragon-series-metal-in-ear-headset-mi-note-8-pro-wired/p/itm4a9cd2330187c?pid=ACCFTYNWTRGCXFFW&lid=LSTACCFTYNWTRGCXFFWIKMX4C&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_13&otracker=search&otracker1=search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFTYNWTRGCXFFW.SEARCH&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Dragon_Series Metal in-Ear Headset for Mi Note 8 Pro Wired Headset  (Black, In the Ear)",799.0,215.0,Meyaar,Dragon_Series Metal in-Ear Headset for Mi Note 8 Pro,Black,In Ear,Wired
https://www.flipkart.com/wings-phantom-wireless-earbuds-50ms-low-latency-game-mode-5-3-bluetooth-headset/p/itm35312d3099ce5?pid=ACCGF8EWXCCWXWJZ&lid=LSTACCGF8EWXCCWXWJZFJWXBE&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&spotlightTagId=FkPickId_0pm%2Ffcn&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=3576b5c2-3b37-48a0-ba59-19c844e74621.ACCGF8EWXCCWXWJZ.SEARCH&ppt=sp&ppn=sp&ssid=otvdpaikk00000001684390031295&qH=e9698ba16f3a3269,"Wings Phantom Wireless Earbuds with 50ms Low Latency Game mode 5.3 Bluetooth Headset  (Black, True Wireless)",4999.0,999.0,Wings,WL-PHANTOM-BLK,Black,In Ear,Bluetooth
https://www.flipkart.com/portronics-harmonics-250-fast-charging-60hrs-playtime-bluetooth-headset/p/itm1143a63f92416?pid=ACCGBH958FFBGZSY&lid=LSTACCGBH958FFBGZSYQ555FL&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_6&otracker=search&otracker1=search&iid=5853baf6-4605-4157-ab5c-f4cdd898e548.ACCGBH958FFBGZSY.SEARCH&ssid=mwwn0wbvog0000001684390003142&qH=e9698ba16f3a3269,"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)",2999.0,899.0,Portronics,Harmonics 250 Fast Charging with 60Hrs Playtime,Black,In Ear,Bluetooth
https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/p/itm2905dfd0be40c?pid=ACCFSDGXX3S6DVBG&lid=LSTACCFSDGXX3S6DVBGIAXPYM&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_34&otracker=search&otracker1=search&iid=d5a3ae87-0897-4a79-9bb8-54f0edc1114f.ACCFSDGXX3S6DVBG.SEARCH&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Active Black, True Wireless)",2990.0,1199.0,boAt,Airdopes 131,Active Black,In Ear,Bluetooth
https://www.flipkart.com/zebronics-zeb-buds-20-wired-headset/p/itm31771302d8815?pid=ACCGFQ54QMHYEGMH&lid=LSTACCGFQ54QMHYEGMHSVT69G&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_31&otracker=search&otracker1=search&iid=c4b2f014-7a4d-4694-b934-abdb17c9d797.ACCGFQ54QMHYEGMH.SEARCH&ssid=ofoxn8uy8w0000001684389996846&qH=e9698ba16f3a3269,"ZEBRONICS Zeb-Buds 20 Wired Headset  (Black, In the Ear)",599.0,349.0,ZEBRONICS,Zeb-Buds 20,Black,In Ear,Wired
https://www.flipkart.com/meyaar-pilot-series-bluetooth-headphones-high-bass-boom-mic-wired-gaming-headset/p/itmf202fc1a71d6d?pid=ACCFU89E9VQYMW5B&lid=LSTACCFU89E9VQYMW5BKBLJJG&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_11&otracker=search&otracker1=search&fm=Search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFU89E9VQYMW5B.SEARCH&ppt=sp&ppn=sp&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Pilot Series Bluetooth Headphones With High Bass & Boom Mic Bluetooth & Wired Gaming Headset  (Metal Black, On the Ear)",2399.0,1859.0,Meyaar,Pilot Series Bluetooth Headphones With High Bass & Boom Mic,Metal Black,On Ear,Bluetooth & Wired
https://www.flipkart.com/wings-phantom-860-earbuds-game-mode-50-hrsplaytime-quad-enc-mic-app-support-bluetooth-gaming-headset/p/itm172173182e4c8?pid=ACCGH3VMRHNU3YA6&lid=LSTACCGH3VMRHNU3YA6H5RNUG&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_5&otracker=search&otracker1=search&iid=3576b5c2-3b37-48a0-ba59-19c844e74621.ACCGH3VMRHNU3YA6.SEARCH&ssid=otvdpaikk00000001684390031295&qH=e9698ba16f3a3269,"Wings Phantom 860 Earbuds with Game mode, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,1499.0,Wings,WL-PHANTOM860-BLK,Black,In Ear,Bluetooth
https://www.flipkart.com/boat-rockerz-551-anc-hybrid-anc-100-hrs-playback-40mm-drivers-asap-charge-bluetooth-headset/p/itmbd436ac6c4964?pid=ACCGZYG5EDAVXZQ8&lid=LSTACCGZYG5EDAVXZQ89IQVU0&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_39&otracker=search&otracker1=search&iid=d5a3ae87-0897-4a79-9bb8-54f0edc1114f.ACCGZYG5EDAVXZQ8.SEARCH&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,"boAt Rockerz 551 ANC with Hybrid ANC, 100 HRS Playback, 40mm Drivers & ASAP Charge Bluetooth Headset  (Stellar Black, On the Ear)",7990.0,3499.0,boAt,Rockerz 551 ANC,Stellar Black,On Ear,Bluetooth
